trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLevelOrig,batteryLow,batteryVoltage,lqi,manufacturer,model,motionStatus,ppc.charging,rssi,tamper,
8,10038,1fef000100976d28,Stair Motion Sensor,1574043013018,2019-11-18T02:10:13.018Z,11/18/2019 02:10:13,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574043029242,2019-11-18T02:10:29.242Z,11/18/2019 02:10:29,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574043044414,2019-11-18T02:10:44.414Z,11/18/2019 02:10:44,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574043072204,2019-11-18T02:11:12.204Z,11/18/2019 02:11:12,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574043109161,2019-11-18T02:11:49.161Z,11/18/2019 02:11:49,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574043134063,2019-11-18T02:12:14.063Z,11/18/2019 02:12:14,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574043157787,2019-11-18T02:12:37.787Z,11/18/2019 02:12:37,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574043177587,2019-11-18T02:12:57.587Z,11/18/2019 02:12:57,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574043372530,2019-11-18T02:16:12.530Z,11/18/2019 02:16:12,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574043391044,2019-11-18T02:16:31.044Z,11/18/2019 02:16:31,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574043660864,2019-11-18T02:21:00.864Z,11/18/2019 02:21:00,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574043676026,2019-11-18T02:21:16.026Z,11/18/2019 02:21:16,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574043860349,2019-11-18T02:24:20.349Z,11/18/2019 02:24:20,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574043880247,2019-11-18T02:24:40.247Z,11/18/2019 02:24:40,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574045413641,2019-11-18T02:50:13.641Z,11/18/2019 02:50:13,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574045450587,2019-11-18T02:50:50.587Z,11/18/2019 02:50:50,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574045543635,2019-11-18T02:52:23.635Z,11/18/2019 02:52:23,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574045591498,2019-11-18T02:53:11.498Z,11/18/2019 02:53:11,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574045591905,2019-11-18T02:53:11.905Z,11/18/2019 02:53:11,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574045619714,2019-11-18T02:53:39.714Z,11/18/2019 02:53:39,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
