trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLevelOrig,batteryLow,batteryVoltage,deviceVersion,lqi,manufacturer,model,ppc.charging,rssi,tamper,waterFrozen,waterLeak,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574058170713,2019-11-18T06:22:50.713Z,11/18/2019 06:22:50,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574059067888,2019-11-18T06:37:47.888Z,11/18/2019 06:37:47,0,100,80,0,2.9,2C.01.14,204,greenpeak,gpd,0,-57,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574059967899,2019-11-18T06:52:47.899Z,11/18/2019 06:52:47,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574060867844,2019-11-18T07:07:47.844Z,11/18/2019 07:07:47,0,100,80,0,2.9,2C.01.14,196,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574061767943,2019-11-18T07:22:47.943Z,11/18/2019 07:22:47,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574062667749,2019-11-18T07:37:47.749Z,11/18/2019 07:37:47,0,100,80,0,2.9,2C.01.14,212,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574063567866,2019-11-18T07:52:47.866Z,11/18/2019 07:52:47,0,100,80,0,2.9,2C.01.14,212,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574064467736,2019-11-18T08:07:47.736Z,11/18/2019 08:07:47,0,100,80,0,2.9,2C.01.14,204,greenpeak,gpd,0,-57,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574065367698,2019-11-18T08:22:47.698Z,11/18/2019 08:22:47,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574066267636,2019-11-18T08:37:47.636Z,11/18/2019 08:37:47,0,100,80,0,2.9,2C.01.14,208,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574067167554,2019-11-18T08:52:47.554Z,11/18/2019 08:52:47,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574068067534,2019-11-18T09:07:47.534Z,11/18/2019 09:07:47,0,100,80,0,2.9,2C.01.14,196,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574068967604,2019-11-18T09:22:47.604Z,11/18/2019 09:22:47,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574069867694,2019-11-18T09:37:47.694Z,11/18/2019 09:37:47,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574070767517,2019-11-18T09:52:47.517Z,11/18/2019 09:52:47,0,100,80,0,2.9,2C.01.14,196,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574071667499,2019-11-18T10:07:47.499Z,11/18/2019 10:07:47,0,100,80,0,2.9,2C.01.14,208,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574072567482,2019-11-18T10:22:47.482Z,11/18/2019 10:22:47,0,100,80,0,2.9,2C.01.14,208,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574073467490,2019-11-18T10:37:47.490Z,11/18/2019 10:37:47,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574075267378,2019-11-18T11:07:47.378Z,11/18/2019 11:07:47,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574076167260,2019-11-18T11:22:47.260Z,11/18/2019 11:22:47,0,100,80,0,2.9,2C.01.14,208,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574077067498,2019-11-18T11:37:47.498Z,11/18/2019 11:37:47,0,100,80,0,2.9,2C.01.14,208,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574077967228,2019-11-18T11:52:47.228Z,11/18/2019 11:52:47,0,100,80,0,2.9,2C.01.14,164,greenpeak,gpd,0,-63,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574078867275,2019-11-18T12:07:47.275Z,11/18/2019 12:07:47,0,100,80,0,2.9,2C.01.14,180,greenpeak,gpd,0,-61,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574079767139,2019-11-18T12:22:47.139Z,11/18/2019 12:22:47,0,100,80,0,2.9,2C.01.14,196,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574079770068,2019-11-18T12:22:50.068Z,11/18/2019 12:22:50,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574080667180,2019-11-18T12:37:47.180Z,11/18/2019 12:37:47,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
