trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryLevel,batteryVoltage,degC,deviceVersion,lqi,manufacturer,model,relativeHumidity,rssi,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574041236811,2019-11-18T01:40:36.811Z,11/18/2019 01:40:36,75,2.6,26.1,12.26.01,148,greenpeak,gpd,41,-66,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574041237586,2019-11-18T01:40:37.586Z,11/18/2019 01:40:37,75,2.6,26.4,12.26.01,144,greenpeak,gpd,41,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574041957911,2019-11-18T01:52:37.911Z,11/18/2019 01:52:37,75,2.6,26.4,12.26.01,144,greenpeak,gpd,40,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574041958925,2019-11-18T01:52:38.925Z,11/18/2019 01:52:38,75,2.6,26.7,12.26.01,144,greenpeak,gpd,40,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574042859351,2019-11-18T02:07:39.351Z,11/18/2019 02:07:39,75,2.6,26.7,12.26.01,56,greenpeak,gpd,39,-81,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574042859966,2019-11-18T02:07:39.966Z,11/18/2019 02:07:39,75,2.6,26.9,12.26.01,144,greenpeak,gpd,39,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574043760667,2019-11-18T02:22:40.667Z,11/18/2019 02:22:40,75,2.6,26.9,12.26.01,68,greenpeak,gpd,39,-79,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574043761280,2019-11-18T02:22:41.280Z,11/18/2019 02:22:41,75,2.6,26.9,12.26.01,144,greenpeak,gpd,39,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574044661734,2019-11-18T02:37:41.734Z,11/18/2019 02:37:41,75,2.6,26.9,12.26.01,144,greenpeak,gpd,38,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574044662472,2019-11-18T02:37:42.472Z,11/18/2019 02:37:42,75,2.6,27.0,12.26.01,144,greenpeak,gpd,38,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574045563020,2019-11-18T02:52:43.020Z,11/18/2019 02:52:43,75,2.6,27.0,12.26.01,136,greenpeak,gpd,39,-68,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574045563719,2019-11-18T02:52:43.719Z,11/18/2019 02:52:43,75,2.6,27.0,12.26.01,96,greenpeak,gpd,39,-75,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574045983561,2019-11-18T02:59:43.561Z,11/18/2019 02:59:43,75,2.6,27.0,12.26.01,136,greenpeak,gpd,41,-68,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574045984416,2019-11-18T02:59:44.416Z,11/18/2019 02:59:44,75,2.6,26.7,12.26.01,132,greenpeak,gpd,41,-69,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574046284058,2019-11-18T03:04:44.058Z,11/18/2019 03:04:44,75,2.6,26.7,12.26.01,152,greenpeak,gpd,44,-65,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574046284903,2019-11-18T03:04:44.903Z,11/18/2019 03:04:44,75,2.6,26.4,12.26.01,88,greenpeak,gpd,44,-76,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574046704741,2019-11-18T03:11:44.741Z,11/18/2019 03:11:44,75,2.6,26.4,12.26.01,72,greenpeak,gpd,42,-79,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574046705578,2019-11-18T03:11:45.578Z,11/18/2019 03:11:45,75,2.6,26.0,12.26.01,144,greenpeak,gpd,42,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574046945066,2019-11-18T03:15:45.066Z,11/18/2019 03:15:45,75,2.6,26.0,12.26.01,148,greenpeak,gpd,42,-66,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574046945915,2019-11-18T03:15:45.915Z,11/18/2019 03:15:45,75,2.6,25.6,12.26.01,148,greenpeak,gpd,42,-66,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574047185508,2019-11-18T03:19:45.508Z,11/18/2019 03:19:45,75,2.6,25.6,12.26.01,148,greenpeak,gpd,43,-66,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574047186282,2019-11-18T03:19:46.282Z,11/18/2019 03:19:46,75,2.6,25.3,12.26.01,76,greenpeak,gpd,43,-78,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574047425896,2019-11-18T03:23:45.896Z,11/18/2019 03:23:45,75,2.6,25.3,12.26.01,84,greenpeak,gpd,44,-77,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574047426818,2019-11-18T03:23:46.818Z,11/18/2019 03:23:46,75,2.6,24.9,12.26.01,148,greenpeak,gpd,44,-66,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574047786357,2019-11-18T03:29:46.357Z,11/18/2019 03:29:46,75,2.6,24.9,12.26.01,108,greenpeak,gpd,44,-73,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574047787148,2019-11-18T03:29:47.148Z,11/18/2019 03:29:47,75,2.6,24.6,12.26.01,144,greenpeak,gpd,44,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574048207042,2019-11-18T03:36:47.042Z,11/18/2019 03:36:47,75,2.6,24.6,12.26.01,140,greenpeak,gpd,44,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574048207888,2019-11-18T03:36:47.888Z,11/18/2019 03:36:47,75,2.6,24.3,12.26.01,96,greenpeak,gpd,44,-75,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574048747715,2019-11-18T03:45:47.715Z,11/18/2019 03:45:47,75,2.6,24.3,12.26.01,140,greenpeak,gpd,45,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574048748688,2019-11-18T03:45:48.688Z,11/18/2019 03:45:48,75,2.6,24.0,12.26.01,100,greenpeak,gpd,45,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574049348886,2019-11-18T03:55:48.886Z,11/18/2019 03:55:48,75,2.6,24.0,12.26.01,104,greenpeak,gpd,45,-73,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574049349499,2019-11-18T03:55:49.499Z,11/18/2019 03:55:49,75,2.6,23.7,12.26.01,104,greenpeak,gpd,45,-73,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574050250124,2019-11-18T04:10:50.124Z,11/18/2019 04:10:50,75,2.6,23.7,12.26.01,128,greenpeak,gpd,46,-69,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574050250801,2019-11-18T04:10:50.801Z,11/18/2019 04:10:50,75,2.6,23.4,12.26.01,128,greenpeak,gpd,46,-69,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574051151949,2019-11-18T04:25:51.949Z,11/18/2019 04:25:51,75,2.6,23.4,12.26.01,112,greenpeak,gpd,46,-72,
