trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLow,batteryVoltage,deviceVersion,doorStatus,lqi,manufacturer,model,ppc.charging,rssi,tamper,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574050111912,2019-11-18T04:08:31.912Z,11/18/2019 04:08:31,0,75,0,2.6,13.26.01,0,112,greenpeak,gpd,0,-72,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574051011858,2019-11-18T04:23:31.858Z,11/18/2019 04:23:31,0,75,0,2.6,13.26.01,0,108,greenpeak,gpd,0,-73,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574051912019,2019-11-18T04:38:32.019Z,11/18/2019 04:38:32,0,75,0,2.6,13.26.01,0,124,greenpeak,gpd,0,-70,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574052811869,2019-11-18T04:53:31.869Z,11/18/2019 04:53:31,0,75,0,2.6,13.26.01,0,132,greenpeak,gpd,0,-69,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574053711972,2019-11-18T05:08:31.972Z,11/18/2019 05:08:31,0,75,0,2.6,13.26.01,0,108,greenpeak,gpd,0,-73,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574054612067,2019-11-18T05:23:32.067Z,11/18/2019 05:23:32,0,75,0,2.6,13.26.01,0,140,greenpeak,gpd,0,-67,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574055512077,2019-11-18T05:38:32.077Z,11/18/2019 05:38:32,0,75,0,2.6,13.26.01,0,136,greenpeak,gpd,0,-68,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574056411880,2019-11-18T05:53:31.880Z,11/18/2019 05:53:31,0,75,0,2.6,13.26.01,0,108,greenpeak,gpd,0,-73,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574058212050,2019-11-18T06:23:32.050Z,11/18/2019 06:23:32,0,75,0,2.6,13.26.01,0,108,greenpeak,gpd,0,-73,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574059111772,2019-11-18T06:38:31.772Z,11/18/2019 06:38:31,0,75,0,2.6,13.26.01,0,136,greenpeak,gpd,0,-68,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574060011890,2019-11-18T06:53:31.890Z,11/18/2019 06:53:31,0,75,0,2.6,13.26.01,0,136,greenpeak,gpd,0,-68,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574060911773,2019-11-18T07:08:31.773Z,11/18/2019 07:08:31,0,75,0,2.6,13.26.01,0,140,greenpeak,gpd,0,-67,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574061811823,2019-11-18T07:23:31.823Z,11/18/2019 07:23:31,0,75,0,2.6,13.26.01,0,112,greenpeak,gpd,0,-72,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574062711761,2019-11-18T07:38:31.761Z,11/18/2019 07:38:31,0,75,0,2.6,13.26.01,0,136,greenpeak,gpd,0,-68,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574063611794,2019-11-18T07:53:31.794Z,11/18/2019 07:53:31,0,75,0,2.6,13.26.01,0,108,greenpeak,gpd,0,-73,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574064511827,2019-11-18T08:08:31.827Z,11/18/2019 08:08:31,0,75,0,2.6,13.26.01,0,136,greenpeak,gpd,0,-68,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574065411713,2019-11-18T08:23:31.713Z,11/18/2019 08:23:31,0,75,0,2.6,13.26.01,0,136,greenpeak,gpd,0,-68,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574066311771,2019-11-18T08:38:31.771Z,11/18/2019 08:38:31,0,75,0,2.6,13.26.01,0,140,greenpeak,gpd,0,-67,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574067150851,2019-11-18T08:52:30.851Z,11/18/2019 08:52:30,0,75,0,2.6,13.26.01,0,140,greenpeak,gpd,0,-67,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574067211693,2019-11-18T08:53:31.693Z,11/18/2019 08:53:31,0,75,0,2.6,13.26.01,0,136,greenpeak,gpd,0,-68,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574068111788,2019-11-18T09:08:31.788Z,11/18/2019 09:08:31,0,75,0,2.6,13.26.01,0,136,greenpeak,gpd,0,-68,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574069011750,2019-11-18T09:23:31.750Z,11/18/2019 09:23:31,0,75,0,2.6,13.26.01,0,108,greenpeak,gpd,0,-73,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574069911716,2019-11-18T09:38:31.716Z,11/18/2019 09:38:31,0,75,0,2.6,13.26.01,0,136,greenpeak,gpd,0,-68,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574072611844,2019-11-18T10:23:31.844Z,11/18/2019 10:23:31,0,75,0,2.6,13.26.01,0,136,greenpeak,gpd,0,-68,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574073511618,2019-11-18T10:38:31.618Z,11/18/2019 10:38:31,0,75,0,2.6,13.26.01,0,92,greenpeak,gpd,0,-75,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574074411655,2019-11-18T10:53:31.655Z,11/18/2019 10:53:31,0,75,0,2.6,13.26.01,0,124,greenpeak,gpd,0,-70,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574075225312,2019-11-18T11:07:05.312Z,11/18/2019 11:07:05,0,75,0,2.6,13.26.01,1,108,greenpeak,gpd,0,-73,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574075229477,2019-11-18T11:07:09.477Z,11/18/2019 11:07:09,0,75,0,2.6,13.26.01,0,96,greenpeak,gpd,0,-75,0,
