trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryLevel,batteryLevelOrig,batteryVoltage,degC,lqi,manufacturer,model,rssi,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574059257975,2019-11-18T06:40:57.975Z,11/18/2019 06:40:57,100,60,2.9,25.0,116,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574060157317,2019-11-18T06:55:57.317Z,11/18/2019 06:55:57,100,60,2.9,25.0,116,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574061057900,2019-11-18T07:10:57.900Z,11/18/2019 07:10:57,100,60,2.9,25.0,144,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574061957201,2019-11-18T07:25:57.201Z,11/18/2019 07:25:57,100,60,2.9,25.0,116,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574062857766,2019-11-18T07:40:57.766Z,11/18/2019 07:40:57,100,60,2.9,25.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574063757106,2019-11-18T07:55:57.106Z,11/18/2019 07:55:57,100,60,2.9,25.0,116,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574064657091,2019-11-18T08:10:57.091Z,11/18/2019 08:10:57,100,60,2.9,25.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574065557217,2019-11-18T08:25:57.217Z,11/18/2019 08:25:57,100,60,2.9,25.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574066457710,2019-11-18T08:40:57.710Z,11/18/2019 08:40:57,100,60,2.9,25.0,112,greenpeak,gpd,-72,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574067357130,2019-11-18T08:55:57.130Z,11/18/2019 08:55:57,100,60,2.9,25.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574069158776,2019-11-18T09:25:58.776Z,11/18/2019 09:25:58,100,60,2.9,25.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574070056916,2019-11-18T09:40:56.916Z,11/18/2019 09:40:56,100,60,2.9,25.0,112,greenpeak,gpd,-72,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574071856817,2019-11-18T10:10:56.817Z,11/18/2019 10:10:56,100,60,2.9,25.0,112,greenpeak,gpd,-72,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574072757361,2019-11-18T10:25:57.361Z,11/18/2019 10:25:57,100,60,2.9,24.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574073656716,2019-11-18T10:40:56.716Z,11/18/2019 10:40:56,100,60,2.9,24.0,96,greenpeak,gpd,-75,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574074556736,2019-11-18T10:55:56.736Z,11/18/2019 10:55:56,100,60,2.9,24.0,128,greenpeak,gpd,-69,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574075456642,2019-11-18T11:10:56.642Z,11/18/2019 11:10:56,100,60,2.9,25.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574076357214,2019-11-18T11:25:57.214Z,11/18/2019 11:25:57,100,60,2.9,24.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574076359308,2019-11-18T11:25:59.308Z,11/18/2019 11:25:59,100,60,2.9,24.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574077256676,2019-11-18T11:40:56.676Z,11/18/2019 11:40:56,100,60,2.9,25.0,144,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574078156627,2019-11-18T11:55:56.627Z,11/18/2019 11:55:56,100,60,2.9,25.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574079056460,2019-11-18T12:10:56.460Z,11/18/2019 12:10:56,100,60,2.9,24.0,148,greenpeak,gpd,-66,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574079958523,2019-11-18T12:25:58.523Z,11/18/2019 12:25:58,100,60,2.9,25.0,128,greenpeak,gpd,-69,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574080856346,2019-11-18T12:40:56.346Z,11/18/2019 12:40:56,100,60,2.9,25.0,164,greenpeak,gpd,-63,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574081756375,2019-11-18T12:55:56.375Z,11/18/2019 12:55:56,100,60,2.9,25.0,128,greenpeak,gpd,-69,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574082656266,2019-11-18T13:10:56.266Z,11/18/2019 13:10:56,100,60,2.9,24.0,128,greenpeak,gpd,-69,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574083556324,2019-11-18T13:25:56.324Z,11/18/2019 13:25:56,100,60,2.9,24.0,164,greenpeak,gpd,-63,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574084456228,2019-11-18T13:40:56.228Z,11/18/2019 13:40:56,100,60,2.9,24.0,164,greenpeak,gpd,-63,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574085356180,2019-11-18T13:55:56.180Z,11/18/2019 13:55:56,100,60,2.9,24.0,128,greenpeak,gpd,-69,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574086256208,2019-11-18T14:10:56.208Z,11/18/2019 14:10:56,100,60,2.9,24.0,132,greenpeak,gpd,-69,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574087156024,2019-11-18T14:25:56.024Z,11/18/2019 14:25:56,100,60,2.9,25.0,132,greenpeak,gpd,-69,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574088056082,2019-11-18T14:40:56.082Z,11/18/2019 14:40:56,100,60,2.9,24.0,164,greenpeak,gpd,-63,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574088956092,2019-11-18T14:55:56.092Z,11/18/2019 14:55:56,100,60,2.9,24.0,164,greenpeak,gpd,-63,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574089855944,2019-11-18T15:10:55.944Z,11/18/2019 15:10:55,100,60,2.9,24.0,128,greenpeak,gpd,-69,
