trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLevelOrig,batteryLow,batteryVoltage,doorStatus,lqi,manufacturer,model,ppc.charging,rssi,tamper,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574095753240,2019-11-18T16:49:13.240Z,11/18/2019 16:49:13,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574096157534,2019-11-18T16:55:57.534Z,11/18/2019 16:55:57,0,10,40,0,2.5,0,208,greenpeak,gpd,0,-56,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574096160298,2019-11-18T16:56:00.298Z,11/18/2019 16:56:00,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574106957065,2019-11-18T19:55:57.065Z,11/18/2019 19:55:57,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574107323758,2019-11-18T20:02:03.758Z,11/18/2019 20:02:03,0,10,40,0,2.5,1,228,greenpeak,gpd,0,-53,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574107480855,2019-11-18T20:04:40.855Z,11/18/2019 20:04:40,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574109735082,2019-11-18T20:42:15.082Z,11/18/2019 20:42:15,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574109769298,2019-11-18T20:42:49.298Z,11/18/2019 20:42:49,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574109935716,2019-11-18T20:45:35.716Z,11/18/2019 20:45:35,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574109948316,2019-11-18T20:45:48.316Z,11/18/2019 20:45:48,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574110058857,2019-11-18T20:47:38.857Z,11/18/2019 20:47:38,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574110063924,2019-11-18T20:47:43.924Z,11/18/2019 20:47:43,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574111457046,2019-11-18T21:10:57.046Z,11/18/2019 21:10:57,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574112356906,2019-11-18T21:25:56.906Z,11/18/2019 21:25:56,0,10,40,0,2.5,0,228,greenpeak,gpd,0,-53,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574113256928,2019-11-18T21:40:56.928Z,11/18/2019 21:40:56,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574113862625,2019-11-18T21:51:02.625Z,11/18/2019 21:51:02,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574113868981,2019-11-18T21:51:08.981Z,11/18/2019 21:51:08,0,10,40,0,2.5,0,216,greenpeak,gpd,0,-55,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574114156878,2019-11-18T21:55:56.878Z,11/18/2019 21:55:56,0,10,40,0,2.5,0,220,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574114641857,2019-11-18T22:04:01.857Z,11/18/2019 22:04:01,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574114645140,2019-11-18T22:04:05.140Z,11/18/2019 22:04:05,0,10,40,0,2.5,0,212,greenpeak,gpd,0,-56,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574115056859,2019-11-18T22:10:56.859Z,11/18/2019 22:10:56,0,10,40,0,2.5,0,220,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574115956792,2019-11-18T22:25:56.792Z,11/18/2019 22:25:56,0,10,40,0,2.5,0,216,greenpeak,gpd,0,-55,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574116682725,2019-11-18T22:38:02.725Z,11/18/2019 22:38:02,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574116689558,2019-11-18T22:38:09.558Z,11/18/2019 22:38:09,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
