trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLow,batteryVoltage,deviceVersion,doorStatus,lqi,manufacturer,model,ppc.charging,rssi,tamper,
8,10014,FFFFFFFF006eb692,Entry Sensor Front Door New,1574058129526,2019-11-18T06:22:09.526Z,11/18/2019 06:22:09,0,100,0,2.7,13.26.01,0,36,greenpeak,gpd,0,-84,0,
8,10014,FFFFFFFF006eb692,Entry Sensor Front Door New,1574059029565,2019-11-18T06:37:09.565Z,11/18/2019 06:37:09,0,100,0,2.7,13.26.01,0,36,greenpeak,gpd,0,-84,0,
8,10014,FFFFFFFF006eb692,Entry Sensor Front Door New,1574059909960,2019-11-18T06:51:49.960Z,11/18/2019 06:51:49,0,100,0,2.7,13.26.01,0,60,greenpeak,gpd,0,-81,0,
8,10014,FFFFFFFF006eb692,Entry Sensor Front Door New,1574059929320,2019-11-18T06:52:09.320Z,11/18/2019 06:52:09,0,100,0,2.7,13.26.01,0,32,greenpeak,gpd,0,-85,0,
8,10014,FFFFFFFF006eb692,Entry Sensor Front Door New,1574060829516,2019-11-18T07:07:09.516Z,11/18/2019 07:07:09,0,100,0,2.7,13.26.01,0,60,greenpeak,gpd,0,-81,0,
8,10014,FFFFFFFF006eb692,Entry Sensor Front Door New,1574061729420,2019-11-18T07:22:09.420Z,11/18/2019 07:22:09,0,100,0,2.7,13.26.01,0,36,greenpeak,gpd,0,-84,0,
8,10014,FFFFFFFF006eb692,Entry Sensor Front Door New,1574062629498,2019-11-18T07:37:09.498Z,11/18/2019 07:37:09,0,100,0,2.7,13.26.01,0,60,greenpeak,gpd,0,-81,0,
8,10014,FFFFFFFF006eb692,Entry Sensor Front Door New,1574063529541,2019-11-18T07:52:09.541Z,11/18/2019 07:52:09,0,100,0,2.7,13.26.01,0,60,greenpeak,gpd,0,-81,0,
8,10014,FFFFFFFF006eb692,Entry Sensor Front Door New,1574064429406,2019-11-18T08:07:09.406Z,11/18/2019 08:07:09,0,100,0,2.7,13.26.01,0,32,greenpeak,gpd,0,-85,0,
8,10014,FFFFFFFF006eb692,Entry Sensor Front Door New,1574065329351,2019-11-18T08:22:09.351Z,11/18/2019 08:22:09,0,100,0,2.7,13.26.01,0,56,greenpeak,gpd,0,-81,0,
8,10014,FFFFFFFF006eb692,Entry Sensor Front Door New,1574066229437,2019-11-18T08:37:09.437Z,11/18/2019 08:37:09,0,100,0,2.7,13.26.01,0,40,greenpeak,gpd,0,-84,0,
8,10014,FFFFFFFF006eb692,Entry Sensor Front Door New,1574067129354,2019-11-18T08:52:09.354Z,11/18/2019 08:52:09,0,100,0,2.7,13.26.01,0,40,greenpeak,gpd,0,-84,0,
8,10014,FFFFFFFF006eb692,Entry Sensor Front Door New,1574068029586,2019-11-18T09:07:09.586Z,11/18/2019 09:07:09,0,100,0,2.7,13.26.01,0,60,greenpeak,gpd,0,-81,0,
8,10014,FFFFFFFF006eb692,Entry Sensor Front Door New,1574069829367,2019-11-18T09:37:09.367Z,11/18/2019 09:37:09,0,100,0,2.7,13.26.01,0,60,greenpeak,gpd,0,-81,0,
