trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLow,batteryVoltage,deviceVersion,lqi,manufacturer,model,motionStatus,ppc.charging,rssi,tamper,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041618807,2019-11-18T01:46:58.807Z,11/18/2019 01:46:58,0,100,0,3.0,13.26.01,208,greenpeak,gpd,1,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041624679,2019-11-18T01:47:04.679Z,11/18/2019 01:47:04,0,100,0,3.0,13.26.01,200,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041643267,2019-11-18T01:47:23.267Z,11/18/2019 01:47:23,0,100,0,3.0,13.26.01,200,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041654952,2019-11-18T01:47:34.952Z,11/18/2019 01:47:34,0,100,0,3.0,13.26.01,204,greenpeak,gpd,0,0,-57,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041686831,2019-11-18T01:48:06.831Z,11/18/2019 01:48:06,0,100,0,3.0,13.26.01,204,greenpeak,gpd,1,0,-57,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041694679,2019-11-18T01:48:14.679Z,11/18/2019 01:48:14,0,100,0,3.0,13.26.01,212,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041698453,2019-11-18T01:48:18.453Z,11/18/2019 01:48:18,0,100,0,3.0,13.26.01,200,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041702365,2019-11-18T01:48:22.365Z,11/18/2019 01:48:22,0,100,0,3.0,13.26.01,212,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041704831,2019-11-18T01:48:24.831Z,11/18/2019 01:48:24,0,100,0,3.0,13.26.01,200,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041710830,2019-11-18T01:48:30.830Z,11/18/2019 01:48:30,0,100,0,3.0,13.26.01,212,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041713666,2019-11-18T01:48:33.666Z,11/18/2019 01:48:33,0,100,0,3.0,13.26.01,208,greenpeak,gpd,1,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041717594,2019-11-18T01:48:37.594Z,11/18/2019 01:48:37,0,100,0,3.0,13.26.01,208,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041746267,2019-11-18T01:49:06.267Z,11/18/2019 01:49:06,0,100,0,3.0,13.26.01,204,greenpeak,gpd,1,0,-57,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041750188,2019-11-18T01:49:10.188Z,11/18/2019 01:49:10,0,100,0,3.0,13.26.01,204,greenpeak,gpd,0,0,-57,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041768939,2019-11-18T01:49:28.939Z,11/18/2019 01:49:28,0,100,0,3.0,13.26.01,208,greenpeak,gpd,1,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041780840,2019-11-18T01:49:40.840Z,11/18/2019 01:49:40,0,100,0,3.0,13.26.01,204,greenpeak,gpd,0,0,-57,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041799210,2019-11-18T01:49:59.210Z,11/18/2019 01:49:59,0,100,0,3.0,13.26.01,208,greenpeak,gpd,1,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041803063,2019-11-18T01:50:03.063Z,11/18/2019 01:50:03,0,100,0,3.0,13.26.01,208,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041804516,2019-11-18T01:50:04.516Z,11/18/2019 01:50:04,0,100,0,3.0,13.26.01,200,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041812372,2019-11-18T01:50:12.372Z,11/18/2019 01:50:12,0,100,0,3.0,13.26.01,208,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041813785,2019-11-18T01:50:13.785Z,11/18/2019 01:50:13,0,100,0,3.0,13.26.01,208,greenpeak,gpd,1,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041821776,2019-11-18T01:50:21.776Z,11/18/2019 01:50:21,0,100,0,3.0,13.26.01,204,greenpeak,gpd,0,0,-57,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041919069,2019-11-18T01:51:59.069Z,11/18/2019 01:51:59,0,100,0,3.0,13.26.01,204,greenpeak,gpd,1,0,-57,0,
