trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLevelOrig,batteryLow,batteryVoltage,doorStatus,lqi,manufacturer,model,ppc.charging,rssi,tamper,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574050957064,2019-11-18T04:22:37.064Z,11/18/2019 04:22:37,0,10,40,0,2.5,0,116,greenpeak,gpd,0,-71,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574051857160,2019-11-18T04:37:37.160Z,11/18/2019 04:37:37,0,10,40,0,2.5,0,112,greenpeak,gpd,0,-72,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574052757114,2019-11-18T04:52:37.114Z,11/18/2019 04:52:37,0,10,40,0,2.5,0,100,greenpeak,gpd,0,-74,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574054557059,2019-11-18T05:22:37.059Z,11/18/2019 05:22:37,0,10,40,0,2.5,0,100,greenpeak,gpd,0,-74,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574055456973,2019-11-18T05:37:36.973Z,11/18/2019 05:37:36,0,10,40,0,2.5,0,116,greenpeak,gpd,0,-71,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574056356909,2019-11-18T05:52:36.909Z,11/18/2019 05:52:36,0,10,40,0,2.5,0,108,greenpeak,gpd,0,-73,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574057256946,2019-11-18T06:07:36.946Z,11/18/2019 06:07:36,0,10,40,0,2.5,0,108,greenpeak,gpd,0,-73,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574058156740,2019-11-18T06:22:36.740Z,11/18/2019 06:22:36,0,10,40,0,2.5,0,124,greenpeak,gpd,0,-70,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574059056826,2019-11-18T06:37:36.826Z,11/18/2019 06:37:36,0,10,40,0,2.5,0,124,greenpeak,gpd,0,-70,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574059956837,2019-11-18T06:52:36.837Z,11/18/2019 06:52:36,0,10,40,0,2.5,0,104,greenpeak,gpd,0,-73,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574060856679,2019-11-18T07:07:36.679Z,11/18/2019 07:07:36,0,10,40,0,2.5,0,120,greenpeak,gpd,0,-71,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574061756705,2019-11-18T07:22:36.705Z,11/18/2019 07:22:36,0,10,40,0,2.5,0,104,greenpeak,gpd,0,-73,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574063556648,2019-11-18T07:52:36.648Z,11/18/2019 07:52:36,0,10,40,0,2.5,0,104,greenpeak,gpd,0,-73,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574064456592,2019-11-18T08:07:36.592Z,11/18/2019 08:07:36,0,10,40,0,2.5,0,108,greenpeak,gpd,0,-73,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574066256494,2019-11-18T08:37:36.494Z,11/18/2019 08:37:36,0,10,40,0,2.5,0,108,greenpeak,gpd,0,-73,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574067156449,2019-11-18T08:52:36.449Z,11/18/2019 08:52:36,0,10,40,0,2.5,0,120,greenpeak,gpd,0,-71,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574068056468,2019-11-18T09:07:36.468Z,11/18/2019 09:07:36,0,10,40,0,2.5,0,104,greenpeak,gpd,0,-73,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574068956423,2019-11-18T09:22:36.423Z,11/18/2019 09:22:36,0,10,40,0,2.5,0,120,greenpeak,gpd,0,-71,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574069856334,2019-11-18T09:37:36.334Z,11/18/2019 09:37:36,0,10,40,0,2.5,0,120,greenpeak,gpd,0,-71,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574069859229,2019-11-18T09:37:39.229Z,11/18/2019 09:37:39,0,10,40,0,2.5,0,104,greenpeak,gpd,0,-73,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574070756376,2019-11-18T09:52:36.376Z,11/18/2019 09:52:36,0,10,40,0,2.5,0,100,greenpeak,gpd,0,-74,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574071656416,2019-11-18T10:07:36.416Z,11/18/2019 10:07:36,0,10,40,0,2.5,0,120,greenpeak,gpd,0,-71,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574072556273,2019-11-18T10:22:36.273Z,11/18/2019 10:22:36,0,10,40,0,2.5,0,124,greenpeak,gpd,0,-70,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574073456273,2019-11-18T10:37:36.273Z,11/18/2019 10:37:36,0,10,40,0,2.5,0,128,greenpeak,gpd,0,-69,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574074356179,2019-11-18T10:52:36.179Z,11/18/2019 10:52:36,0,10,40,0,2.5,0,132,greenpeak,gpd,0,-69,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574075027883,2019-11-18T11:03:47.883Z,11/18/2019 11:03:47,0,10,40,0,2.5,1,144,greenpeak,gpd,0,-67,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574075032874,2019-11-18T11:03:52.874Z,11/18/2019 11:03:52,0,10,40,0,2.5,0,144,greenpeak,gpd,0,-67,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574075168148,2019-11-18T11:06:08.148Z,11/18/2019 11:06:08,0,10,40,0,2.5,1,120,greenpeak,gpd,0,-71,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574075177449,2019-11-18T11:06:17.449Z,11/18/2019 11:06:17,0,10,40,0,2.5,0,132,greenpeak,gpd,0,-69,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574075256165,2019-11-18T11:07:36.165Z,11/18/2019 11:07:36,0,10,40,0,2.5,0,108,greenpeak,gpd,0,-73,1,
8,10014,FFFFFFFF00605f7e,Sliding back door,1574075262388,2019-11-18T11:07:42.388Z,11/18/2019 11:07:42,0,10,40,0,2.5,1,160,greenpeak,gpd,0,-64,1,
