trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLevelOrig,batteryLow,batteryVoltage,lqi,manufacturer,model,motionStatus,ppc.charging,rssi,tamper,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574039792721,2019-11-18T01:16:32.721Z,11/18/2019 01:16:32,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574039808159,2019-11-18T01:16:48.159Z,11/18/2019 01:16:48,0,100,80,0,2.8,220,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574039907103,2019-11-18T01:18:27.103Z,11/18/2019 01:18:27,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574039922620,2019-11-18T01:18:42.620Z,11/18/2019 01:18:42,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574040814465,2019-11-18T01:33:34.465Z,11/18/2019 01:33:34,0,100,80,0,2.8,220,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574040829985,2019-11-18T01:33:49.985Z,11/18/2019 01:33:49,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574040878981,2019-11-18T01:34:38.981Z,11/18/2019 01:34:38,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574040894447,2019-11-18T01:34:54.447Z,11/18/2019 01:34:54,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574041351255,2019-11-18T01:42:31.255Z,11/18/2019 01:42:31,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574041366786,2019-11-18T01:42:46.786Z,11/18/2019 01:42:46,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574041998339,2019-11-18T01:53:18.339Z,11/18/2019 01:53:18,0,100,80,0,2.8,220,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574042013860,2019-11-18T01:53:33.860Z,11/18/2019 01:53:33,0,100,80,0,2.8,220,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574042019072,2019-11-18T01:53:39.072Z,11/18/2019 01:53:39,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574042034592,2019-11-18T01:53:54.592Z,11/18/2019 01:53:54,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574042035050,2019-11-18T01:53:55.050Z,11/18/2019 01:53:55,0,100,80,0,2.8,220,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574042065597,2019-11-18T01:54:25.597Z,11/18/2019 01:54:25,0,100,80,0,2.8,220,greenpeak,gpd,0,0,-54,0,
