trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryLevel,batteryVoltage,degC,deviceVersion,lqi,manufacturer,model,relativeHumidity,rssi,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574048358387,2019-11-18T03:39:18.387Z,11/18/2019 03:39:18,100,2.8,21.4,12.26.01,76,greenpeak,gpd,53,-78,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574048359083,2019-11-18T03:39:19.083Z,11/18/2019 03:39:19,100,2.8,21.4,12.26.01,76,greenpeak,gpd,53,-78,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574049259521,2019-11-18T03:54:19.521Z,11/18/2019 03:54:19,100,2.8,21.4,12.26.01,112,greenpeak,gpd,53,-72,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574049260448,2019-11-18T03:54:20.448Z,11/18/2019 03:54:20,100,2.8,21.4,12.26.01,112,greenpeak,gpd,53,-72,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574050160759,2019-11-18T04:09:20.759Z,11/18/2019 04:09:20,100,2.8,21.4,12.26.01,108,greenpeak,gpd,53,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574050161749,2019-11-18T04:09:21.749Z,11/18/2019 04:09:21,100,2.8,21.3,12.26.01,64,greenpeak,gpd,53,-80,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574051062165,2019-11-18T04:24:22.165Z,11/18/2019 04:24:22,100,2.8,21.3,12.26.01,60,greenpeak,gpd,52,-81,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574051062993,2019-11-18T04:24:22.993Z,11/18/2019 04:24:22,100,2.8,21.3,12.26.01,60,greenpeak,gpd,52,-81,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574051963487,2019-11-18T04:39:23.487Z,11/18/2019 04:39:23,100,2.8,21.3,12.26.01,52,greenpeak,gpd,54,-82,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574051964246,2019-11-18T04:39:24.246Z,11/18/2019 04:39:24,100,2.8,21.3,12.26.01,84,greenpeak,gpd,54,-77,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574052864782,2019-11-18T04:54:24.782Z,11/18/2019 04:54:24,100,2.8,21.3,12.26.01,104,greenpeak,gpd,54,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574052865468,2019-11-18T04:54:25.468Z,11/18/2019 04:54:25,100,2.8,21.3,12.26.01,108,greenpeak,gpd,54,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574053766057,2019-11-18T05:09:26.057Z,11/18/2019 05:09:26,100,2.8,21.3,12.26.01,72,greenpeak,gpd,53,-79,
