timestamp_ms,timestamp_iso,timestamp_excel,doorStatus,lqi,rssi
1.5741E+12,2019-11-18T17:22:08.780Z,11/18/2019 17:22,0,88,-76
1.5741E+12,2019-11-18T17:37:08.791Z,11/18/2019 17:37,0,108,-73
1.5741E+12,2019-11-18T17:52:08.876Z,11/18/2019 17:52,0,108,-73
1.5741E+12,2019-11-18T18:07:08.716Z,11/18/2019 18:07,0,104,-73
1.5741E+12,2019-11-18T18:22:08.744Z,11/18/2019 18:22,0,112,-72
1.5741E+12,2019-11-18T18:37:08.817Z,11/18/2019 18:37,0,84,-77
1.5741E+12,2019-11-18T18:51:48.832Z,11/18/2019 18:51,0,84,-77
1.5741E+12,2019-11-18T18:52:08.582Z,11/18/2019 18:52,0,108,-73
1.5741E+12,2019-11-18T19:07:08.692Z,11/18/2019 19:07,0,104,-73
1.5741E+12,2019-11-18T19:22:08.756Z,11/18/2019 19:22,0,80,-77
1.57411E+12,2019-11-18T19:37:08.651Z,11/18/2019 19:37,0,88,-76
1.57411E+12,2019-11-18T20:07:08.630Z,11/18/2019 20:07,0,88,-76
1.57411E+12,2019-11-18T20:22:08.653Z,11/18/2019 20:22,0,84,-77
1.57411E+12,2019-11-18T20:37:08.735Z,11/18/2019 20:37,0,72,-79
1.57411E+12,2019-11-18T20:52:08.517Z,11/18/2019 20:52,0,84,-77
1.57411E+12,2019-11-18T21:07:08.656Z,11/18/2019 21:07,0,72,-79
1.57411E+12,2019-11-18T21:22:08.682Z,11/18/2019 21:22,0,68,-79
1.57411E+12,2019-11-18T21:52:08.483Z,11/18/2019 21:52,0,68,-79
1.57411E+12,2019-11-18T22:07:08.580Z,11/18/2019 22:07,0,120,-71
1.57412E+12,2019-11-18T22:22:08.512Z,11/18/2019 22:22,0,64,-80
1.57412E+12,2019-11-18T22:37:08.435Z,11/18/2019 22:37,0,128,-69
1.57412E+12,2019-11-18T22:52:08.471Z,11/18/2019 22:52,0,84,-77
1.57412E+12,2019-11-18T23:07:08.482Z,11/18/2019 23:07,0,88,-76
1.57412E+12,2019-11-18T23:22:08.531Z,11/18/2019 23:22,0,68,-79
1.57412E+12,2019-11-18T23:37:08.476Z,11/18/2019 23:37,0,72,-79
1.57412E+12,2019-11-18T23:52:08.360Z,11/18/2019 23:52,0,72,-79
1.57412E+12,2019-11-19T00:07:08.340Z,11/19/2019 0:07,0,92,-75
1.57412E+12,2019-11-19T00:22:08.481Z,11/19/2019 0:22,0,16,-88
1.57412E+12,2019-11-19T00:37:08.306Z,11/19/2019 0:37,0,96,-75
1.57412E+12,2019-11-19T00:51:48.252Z,11/19/2019 0:51,0,64,-80
1.57412E+12,2019-11-19T00:52:08.225Z,11/19/2019 0:52,0,64,-80
1.57413E+12,2019-11-19T01:07:08.336Z,11/19/2019 1:07,0,60,-81
1.57413E+12,2019-11-19T01:22:08.354Z,11/19/2019 1:22,0,56,-81
1.57413E+12,2019-11-19T01:37:08.376Z,11/19/2019 1:37,0,68,-79
1.57413E+12,2019-11-19T01:52:08.375Z,11/19/2019 1:52,0,28,-86
1.57413E+12,2019-11-19T02:07:08.252Z,11/19/2019 2:07,0,76,-78
1.57413E+12,2019-11-19T02:22:08.261Z,11/19/2019 2:22,0,72,-79
1.57413E+12,2019-11-19T02:52:08.648Z,11/19/2019 2:52,0,56,-81
1.57413E+12,2019-11-19T03:07:08.224Z,11/19/2019 3:07,0,68,-79
1.57413E+12,2019-11-19T03:22:08.191Z,11/19/2019 3:22,0,72,-79
1.57414E+12,2019-11-19T03:52:08.257Z,11/19/2019 3:52,0,80,-77
1.57414E+12,2019-11-19T04:07:08.041Z,11/19/2019 4:07,0,84,-77
1.57414E+12,2019-11-19T04:22:08.154Z,11/19/2019 4:22,0,84,-77
1.57414E+12,2019-11-19T04:37:08.181Z,11/19/2019 4:37,0,88,-76
1.57414E+12,2019-11-19T04:52:08.199Z,11/19/2019 4:52,0,84,-77
1.57414E+12,2019-11-19T05:07:08.120Z,11/19/2019 5:07,0,84,-77
1.57414E+12,2019-11-19T05:22:08.102Z,11/19/2019 5:22,0,88,-76
1.57414E+12,2019-11-19T05:52:08.025Z,11/19/2019 5:52,0,84,-77
1.57414E+12,2019-11-19T06:22:08.604Z,11/19/2019 6:22,0,84,-77
1.57415E+12,2019-11-19T06:37:07.928Z,11/19/2019 6:37,0,80,-77
1.57415E+12,2019-11-19T06:52:07.792Z,11/19/2019 6:52,0,84,-77
1.57415E+12,2019-11-19T07:07:07.933Z,11/19/2019 7:07,0,88,-76
