Timestamp,Output
2020-01-21T19:59:31.017Z,0
2020-01-21T19:59:26.048Z,2
2020-01-21T19:55:54.209Z,0
2020-01-21T19:55:49.206Z,2
2020-01-21T19:55:48.512Z,0
2020-01-21T19:55:43.515Z,2
2020-01-21T19:55:42.945Z,0
2020-01-21T19:55:37.948Z,2
2020-01-21T19:55:08.388Z,0
2020-01-21T19:55:03.393Z,2
2020-01-21T19:45:55.134Z,0
2020-01-21T19:45:47.675Z,2
2020-01-21T19:44:59.327Z,0
2020-01-21T19:44:55.058Z,2
2020-01-21T19:44:54.303Z,0
2020-01-21T19:44:49.306Z,2
2020-01-21T19:44:26.620Z,0
2020-01-21T19:44:15.792Z,2
2020-01-21T19:44:08.748Z,0
2020-01-21T19:44:03.752Z,2
2020-01-21T19:43:48.584Z,0
2020-01-21T19:43:43.583Z,2
2020-01-21T19:43:19.352Z,0
2020-01-21T19:43:14.352Z,2
2020-01-21T19:42:26.110Z,0
2020-01-21T19:42:20.989Z,2
2020-01-21T18:30:57.088Z,0
2020-01-21T18:30:52.086Z,2
2020-01-21T18:30:34.457Z,0
2020-01-21T18:30:26.386Z,2
2020-01-21T18:30:21.380Z,0
2020-01-21T18:30:13.386Z,2
2020-01-21T18:30:04.035Z,0
2020-01-21T18:29:56.044Z,2
2020-01-21T18:28:39.575Z,0
2020-01-21T18:28:34.578Z,2
2020-01-21T18:27:55.247Z,0
2020-01-21T18:27:41.091Z,2
2020-01-21T18:27:02.756Z,0
2020-01-21T18:26:57.846Z,2
2020-01-21T18:26:15.274Z,0
2020-01-21T18:26:10.279Z,2
2020-01-21T18:24:16.182Z,0
2020-01-21T18:24:08.187Z,2
2020-01-21T18:24:00.056Z,0
2020-01-21T18:23:55.066Z,2
2020-01-21T18:13:49.998Z,0
2020-01-21T18:13:45.000Z,2
2020-01-21T18:12:24.547Z,0
2020-01-21T18:12:16.549Z,2
2020-01-21T18:11:13.796Z,0
2020-01-21T18:11:05.885Z,2
2020-01-21T18:03:00.246Z,0
2020-01-21T18:02:49.250Z,2
2020-01-21T18:01:44.408Z,0
2020-01-21T18:01:39.413Z,2
2020-01-21T17:48:27.230Z,0
2020-01-21T17:48:19.319Z,2
2020-01-21T17:48:01.871Z,0
2020-01-21T17:47:56.868Z,2
2020-01-21T17:43:21.925Z,0
2020-01-21T17:43:17.032Z,2
2020-01-21T17:42:54.840Z,0
2020-01-21T17:42:46.848Z,2
2020-01-21T17:35:09.498Z,0
2020-01-21T17:34:58.502Z,2
2020-01-21T17:33:27.637Z,0
2020-01-21T17:33:22.645Z,2
2020-01-21T17:30:50.826Z,0
2020-01-21T17:30:45.830Z,2
2020-01-21T17:29:22.353Z,0
2020-01-21T17:29:17.355Z,2
2020-01-21T17:27:19.939Z,0
2020-01-21T17:27:11.885Z,2
