Timestamp,Output
2020-01-21T20:02:19.628Z,0
2020-01-21T20:02:11.630Z,2
2020-01-21T19:59:29.186Z,0
2020-01-21T19:59:14.950Z,2
2020-01-21T19:59:14.401Z,0
2020-01-21T19:59:09.400Z,2
2020-01-21T19:59:05.312Z,0
2020-01-21T19:58:54.269Z,2
2020-01-21T19:58:34.796Z,0
2020-01-21T19:58:22.992Z,2
2020-01-21T19:58:18.514Z,0
2020-01-21T19:58:13.515Z,2
2020-01-21T19:57:50.564Z,0
2020-01-21T19:57:41.826Z,2
2020-01-21T19:57:36.711Z,0
2020-01-21T19:57:28.708Z,2
2020-01-21T19:55:58.854Z,0
2020-01-21T19:55:50.855Z,2
2020-01-21T19:55:45.552Z,0
2020-01-21T19:55:40.556Z,2
2020-01-21T19:55:08.462Z,0
2020-01-21T19:54:52.836Z,2
2020-01-21T19:52:04.846Z,0
2020-01-21T19:51:50.348Z,2
2020-01-21T19:51:11.147Z,0
2020-01-21T19:50:54.154Z,2
2020-01-21T19:49:46.156Z,0
2020-01-21T19:49:38.153Z,2
2020-01-21T19:49:24.766Z,0
2020-01-21T19:49:07.050Z,2
2020-01-21T19:48:57.296Z,0
2020-01-21T19:48:43.303Z,2
2020-01-21T19:46:01.062Z,0
2020-01-21T19:45:50.063Z,2
2020-01-21T19:44:59.108Z,0
2020-01-21T19:44:51.118Z,2
2020-01-21T19:44:05.925Z,0
2020-01-21T19:44:00.936Z,2
2020-01-21T19:43:53.511Z,0
2020-01-21T19:43:45.545Z,2
2020-01-21T19:43:19.937Z,0
2020-01-21T19:43:11.938Z,2
2020-01-21T19:42:38.939Z,0
2020-01-21T19:42:21.944Z,2
2020-01-21T18:43:51.767Z,0
2020-01-21T18:43:46.764Z,2
2020-01-21T18:34:32.424Z,0
2020-01-21T18:34:27.421Z,2
2020-01-21T18:34:22.734Z,0
2020-01-21T18:34:17.743Z,2
2020-01-21T18:34:16.480Z,0
2020-01-21T18:34:11.487Z,2
2020-01-21T18:33:38.722Z,0
2020-01-21T18:33:33.726Z,2
2020-01-21T18:30:54.297Z,0
2020-01-21T18:30:49.298Z,2
2020-01-21T18:30:38.026Z,0
2020-01-21T18:30:30.028Z,2
2020-01-21T18:28:38.137Z,0
2020-01-21T18:28:13.565Z,2
2020-01-21T18:28:11.620Z,0
2020-01-21T18:27:50.784Z,2
2020-01-21T18:27:02.882Z,0
2020-01-21T18:26:48.528Z,2
2020-01-21T18:26:22.575Z,0
2020-01-21T18:26:11.450Z,2
2020-01-21T18:24:13.632Z,0
2020-01-21T18:23:56.642Z,2
2020-01-21T18:13:47.421Z,0
2020-01-21T18:13:39.649Z,2
2020-01-21T18:12:41.249Z,0
2020-01-21T18:12:18.256Z,2
2020-01-21T18:11:41.467Z,0
