Timestamp,Output
2020-01-21T19:58:43.050Z,0
2020-01-21T19:58:30.930Z,1
2020-01-21T16:03:31.115Z,0
2020-01-21T12:11:54.742Z,0
2020-01-21T12:11:41.649Z,1
2020-01-21T12:00:51.412Z,0
2020-01-21T12:00:40.537Z,1
2020-01-21T11:10:07.294Z,0
2020-01-21T11:10:03.740Z,1
2020-01-21T10:11:39.731Z,0
2020-01-21T08:14:23.159Z,0
2020-01-21T06:17:06.331Z,0
2020-01-21T04:19:49.391Z,0
2020-01-21T02:22:31.289Z,0
2020-01-21T02:22:26.729Z,1
2020-01-21T02:21:30.827Z,0
2020-01-21T02:21:27.257Z,1
2020-01-21T02:21:18.740Z,0
2020-01-21T02:21:14.923Z,1
2020-01-21T01:47:33.491Z,0
2020-01-21T01:47:18.215Z,1
2020-01-21T01:30:57.771Z,0
2020-01-20T23:33:40.020Z,0
2020-01-20T23:33:33.300Z,1
2020-01-20T23:12:38.888Z,0
2020-01-20T23:12:33.293Z,1
2020-01-20T23:02:03.936Z,0
2020-01-20T23:00:42.144Z,1
2020-01-20T22:38:31.084Z,0
2020-01-20T22:38:25.074Z,1
2020-01-20T22:38:17.509Z,0
2020-01-20T22:38:06.345Z,1
2020-01-20T22:36:08.008Z,0
2020-01-20T20:38:52.190Z,0
2020-01-20T18:41:29.714Z,0
2020-01-20T16:44:12.188Z,0
2020-01-20T14:46:54.617Z,0
2020-01-20T14:46:29.196Z,1
2020-01-20T14:45:22.003Z,0
2020-01-20T14:44:33.211Z,1
2020-01-20T13:27:05.999Z,0
2020-01-20T11:29:49.161Z,0
2020-01-20T11:29:34.739Z,1
2020-01-20T10:52:53.431Z,0
2020-01-20T08:55:36.145Z,0
2020-01-20T08:55:21.221Z,1
2020-01-20T07:47:50.069Z,0
2020-01-20T05:50:31.984Z,0
2020-01-20T03:53:14.254Z,0
2020-01-20T03:52:28.682Z,1
2020-01-20T03:51:49.654Z,0
2020-01-20T03:51:22.360Z,1
2020-01-20T03:43:43.942Z,0
2020-01-20T03:43:40.830Z,1
2020-01-20T03:42:54.843Z,0
2020-01-20T03:42:48.526Z,1
2020-01-20T03:14:08.421Z,0
2020-01-20T03:14:05.473Z,1
2020-01-20T03:13:33.933Z,0
2020-01-20T03:13:30.365Z,1
2020-01-20T02:58:06.570Z,0
2020-01-20T01:00:49.075Z,0
2020-01-20T01:00:36.461Z,1
2020-01-19T23:30:41.821Z,0
2020-01-19T21:33:24.491Z,0
2020-01-19T19:36:06.893Z,0
2020-01-19T19:36:00.134Z,1
2020-01-19T18:42:09.821Z,0
2020-01-19T16:44:52.751Z,0
2020-01-19T14:47:35.835Z,0
2020-01-19T12:50:19.194Z,0
2020-01-19T10:53:02.727Z,0
2020-01-19T08:55:45.930Z,0
2020-01-19T06:58:29.654Z,0
2020-01-19T05:01:13.321Z,0
2020-01-19T05:01:05.327Z,1
2020-01-19T04:26:11.104Z,0
2020-01-19T02:28:53.995Z,0
2020-01-19T02:28:46.805Z,1
2020-01-19T02:25:42.187Z,0
2020-01-19T02:25:34.769Z,1
2020-01-19T02:21:25.840Z,0
2020-01-19T02:21:22.594Z,1
2020-01-19T02:20:19.194Z,0
2020-01-19T02:20:02.911Z,1
2020-01-19T01:34:59.808Z,0
2020-01-18T23:37:42.426Z,0
2020-01-18T23:37:31.115Z,1
2020-01-18T23:36:47.920Z,0
2020-01-18T23:36:37.339Z,1
2020-01-18T23:29:19.232Z,0
2020-01-18T23:29:17.172Z,1
2020-01-18T23:16:10.124Z,0
2020-01-18T23:15:05.843Z,1
2020-01-18T21:42:51.223Z,0
2020-01-18T19:45:34.274Z,0
2020-01-18T19:45:25.522Z,1
2020-01-18T17:55:02.463Z,0
2020-01-18T15:57:45.750Z,0
2020-01-18T14:00:28.744Z,0
2020-01-18T12:03:11.827Z,0
2020-01-18T10:05:55.010Z,0
2020-01-18T08:08:37.995Z,0
2020-01-18T04:22:15.970Z,0
2020-01-18T04:22:14.160Z,1
2020-01-18T04:21:55.530Z,0
2020-01-18T04:21:51.154Z,1
2020-01-18T03:34:46.975Z,0
2020-01-18T03:34:44.225Z,1
2020-01-18T03:33:15.545Z,0
2020-01-18T03:33:09.777Z,1
2020-01-18T02:48:06.273Z,0
2020-01-18T00:50:48.174Z,0
2020-01-18T00:10:06.012Z,0
2020-01-18T00:04:53.237Z,0
2020-01-18T00:04:46.811Z,1
2020-01-17T23:42:58.762Z,0
2020-01-17T23:42:55.213Z,1
2020-01-17T23:00:26.695Z,0
2020-01-17T22:55:14.214Z,0
2020-01-17T22:55:08.008Z,1
2020-01-17T22:54:55.324Z,0
2020-01-17T22:54:52.209Z,1
2020-01-17T22:54:50.438Z,0
2020-01-17T22:54:41.456Z,1
2020-01-17T22:52:25.042Z,0
2020-01-17T22:52:13.262Z,1
2020-01-17T21:37:04.100Z,0
2020-01-17T19:56:36.542Z,0
2020-01-17T17:59:18.618Z,0
2020-01-17T16:02:00.476Z,0
2020-01-17T14:04:42.008Z,0
2020-01-17T12:07:23.621Z,0
2020-01-17T12:07:07.561Z,1
2020-01-17T11:19:22.231Z,0
2020-01-17T11:19:11.285Z,1
2020-01-17T11:18:41.265Z,0
2020-01-17T11:18:34.498Z,1
2020-01-17T11:18:24.660Z,0
2020-01-17T11:18:08.329Z,1
2020-01-17T11:03:31.140Z,0
2020-01-17T11:03:26.983Z,1
2020-01-17T10:12:52.065Z,0
2020-01-17T08:15:34.658Z,0
2020-01-17T06:18:17.036Z,0
2020-01-17T04:20:59.270Z,0
2020-01-17T04:20:56.919Z,1
2020-01-17T04:18:56.328Z,0
2020-01-17T04:18:53.288Z,1
2020-01-17T03:57:51.320Z,0
2020-01-17T03:57:48.778Z,1
2020-01-17T03:57:22.230Z,0
2020-01-17T03:57:18.638Z,1
2020-01-17T03:55:27.284Z,0
2020-01-17T02:55:03.692Z,0
2020-01-17T02:55:00.813Z,1
2020-01-17T02:54:42.191Z,0
2020-01-17T02:54:39.239Z,1
2020-01-17T01:56:19.774Z,0
2020-01-17T01:50:35.371Z,0
2020-01-17T00:59:46.470Z,0
2020-01-17T00:04:26.200Z,0
2020-01-16T22:07:08.612Z,0
2020-01-16T20:09:51.303Z,0
2020-01-16T18:12:34.276Z,0
2020-01-16T16:15:17.241Z,0
